게임,문제,정답,제보자
"가로,세로","_____ a few errors in pronunciation, the speech the for eigner gave was perfect. 빈 칸에 알맞은 것은?",Except for,
"가로,세로",_____ absenteeism will be grounds for dismissal from the firm?,Repeated,
"가로,세로",_____ competitors in this industry are trying to accomplish has already been achieved by our company and that is why we are the leaders in this field?,What,
"가로,세로",_____ equipment that is needed urgently will have to be approved by the department manager?,Any,
"가로,세로",_____ everyone agreed at the end of the conference that a great deal had been accomplished?,Virtually,
"가로,세로",_____ has there been a better opportunity to remove trade barriers and encourage global free trade?,Seldom,
"가로,세로","_____ he three charity programs share much in common, unmistakable differences exist in their funding method?",Although,
"가로,세로","_____ more information on placing orders, please call 1-808-535-5528?",For,
"가로,세로","_____ Mr. Schmidt is probably our most productive employee, he has only been promoted once in the time he has worked here?",Although,
"가로,세로",_____ of the people in developing this software ever imagined it would become so popular so quickly?,None,
"가로,세로","_____ often I tell Kevin that I do not want to go out with him, it seems I like he is deaf because he insists on asking me the next time I see him?",- (However),
"가로,세로","_____ often I tell Kevin that I do not want to go out with him, it seems like he is deaf because he insists on asking me the next time I see him.?",However,
"가로,세로",_____ pay increases cannot be expected unless next year's budget shows there is a surplus of funds?,Substantial,
"가로,세로","_____ range of questions, of various topics, were asked at the news conference?",A,
"가로,세로",_____ she's in the office right now or not is not important; we need access to that file right now?,Whether,
"가로,세로",_____ the dollar as its monetary unit in 1878?,Canada adopted,
"가로,세로","_____ the economic crisis that broke out last year, the food industry remains strong?",In spite of,
"가로,세로","_____ the economic depression, Ronald Import!s decided that it would be best not to hire more people in the next six months?",Because of,
"가로,세로",_____ to go the library?,where,
"가로,세로","_____ you will be the last to leave the office, please make sure that you lock the door?",As,
"가로,세로",_____ your product will find the right consumer groups after all of your marketing efforts?,Surely,
"가로,세로","_____, I am asking all of you to keep the kitchen area of our restaurant outlets clean to enable us to meet sanitation standards?",In conclusion,
"가로,세로",?＋－＝÷× 기호가 많이 사용되는 과목은?,수학,
"가로,세로",?다음 중 현대 시민 사회의 한계와 거리가 먼 것은?,지역 화합,
"가로,세로",‘고종의 붕어’ 뜻은?,임금이 세상을 떠남,
"가로,세로",‘꽃갈피’ 는 가수 아이유의 리메이크 앨범 시리즈이다. 다음중 꽃갈피에 수록된 곡이 아닌것은?,라일락,
"가로,세로",‘바람의 손자’라 불리며 야구선수 이종범의 아들로 현재 메이저리그 샌프란시스코 소속으로 활약하는 한국 야구선수는 누구일까?,이정후,
"가로,세로",‘쉬머’ 제품에 해당하는 것은?,아이섀도우,
"가로,세로",‘아시아·태평양경제협력체(APEC)’의 주된 목적은 무엇일까?,지역 내 무역 자유화와 경제협력 강화,
"가로,세로",‘조소’를 의미하는 것은?,우주,
"가로,세로",‘청와대’는 현재 어떤 용도로 쓰이고 있을까?,기념관·공원,
"가로,세로",‘피그말리온 효과(Pygmalion Effect)’는 기대가 행동에 영향을 미쳐 결과를 변화시키는 심리적 효과를 말한다. 이 용어의 유래가 된 고대 신화 속 이야기는?,조각상이 실제 여인으로 변한 이야기,
"가로,세로",‘필라텔리(Philately)’라는 취미는 무엇을 수집하는 것일까?,우표,
"가로,세로",‘홍길동전’을 쓴 사람은?,허균,
"가로,세로",‘Google’의 창립자는 누구일까?,래리 페이지와 세르게이 브린,
"가로,세로",""" I'm not sure if I can do that"" 과 유사한 표현은?",That's impossible.,
"가로,세로","""개구리 삼킨 뱀""이라는 속담의 뜻은?",보기보다 고집이 센 사람,
"가로,세로","""국민을 다스리는 데에는 빵과 서커스면 된다."" 라는 말을 남긴 오스트리아 출생의 정치가인 이 사람은 누구 인가?",아돌프 히틀러,
"가로,세로","""글이나 말의 어떤 부분에 대하여 그 뜻의 이해를 돕기 위해 보충하는 글이나 말을 뜻한다."" 라는 한자어는 무엇인가?",전주,
"가로,세로","""까마귀 날자 0 떨어진다"" 라는 속담에서 0에 들어갈 말은 무엇인가?",배,
"가로,세로","""나는 생각한다. 고로 나는 존재한다."" 라는 명언을 남긴 인물은 누구인가?",데카르트,
"가로,세로","""내 이름은 김삼순""에 나오는 책인 '모모'의 작가는?",미하엘 엔데,
"가로,세로","""내 이름은 김삼순""에 삼순의 언니로 출연한 연기자의 이름은?",이아현,
"가로,세로","""뉴 올리언저 사운드""를 대표하는 아티스트로 루이 암스트롱을 들수 잇다. 그럼 루이 암스트롱이 연주했던 악기는?",트럼펫,
"가로,세로","""동양의 조지 윈스턴"", ""일본의 리처드 클레이더맨""으로도 불리는 이 사람의 본명은 기타노 미노루이다. 누구인가?",유키 구라모토,
"가로,세로","""둘이서""를 부르는 가수는?",채연,
"가로,세로","""리보금리""란 무엇을 말하는가?",런던 금융기관 사이의 금리,
"가로,세로","""린네의"" 생물분류체계에 속하지 않는 것은?",류,
"가로,세로","""마이 아파""라는 유행어를 낸 영화는?",웰컴투 동막골,
"가로,세로","""말을 억지로 끌어다가 이치에 맞도록 한다""는 뜻의 성어는?",견강부회(牽强附會),
"가로,세로","""모라토리엄""이란 무엇을 말하는가?",지불유예,
"가로,세로","""목적 달성을 위하여 수단과 방법을 가리지 아니하는 온갖 모략이나 술책"" 이란 뜻을 가진 사자성어는?",권모술수(權謨術數),
"가로,세로","""물 흐르듯 유창하게 말을 잘한다""는 뜻. 혹은 매우 유창한 말솜씨를 일컫는 성어와 관련이 없는 것은?",치인설몽(癡人說夢),
"가로,세로","""미운사위에게 ()국을 준다""에서 ()에 들어갈 올바른 단어는?",매생이,
"가로,세로","""미인은 불행한 일이 따르기 쉽고 요절 하기 쉽다"" 라는 뜻의 고사성어는?",가인박명(佳人薄命),
"가로,세로","""바람의 나라""를 시작할 때 맨 처음 만나는 인물은?",낙랑,
"가로,세로","""방귀 낀 놈이 성낸다."" 와 관련 있는 사자성어는 무엇인가?",적반하장,
"가로,세로","""빈대 잡으려다 초가 삼간 다 태운다""는 속담과 같은 뜻의 고사성어는?",교각살우(矯角殺牛),
"가로,세로","“생각하는 대로 살지 않으면, 사는대로 생각하게 된다”는 명언을 남긴 작가는?",폴 발레리,
"가로,세로","""악법도 법이다""라고 할때의 법은?",실정법,
"가로,세로","""여론""이란 개념을 최초로 사용한 사람은?",루소,
"가로,세로","""역사""에 관한 문제입니다. 263년 위나라가 촉나라를 멸망시킬 때, 등애(鄧艾)가 험준한 산악지대를 넘어 촉의 수도 성도(成都)를 직접 타격한 기습 경로는 어디입니까?",음평,
"가로,세로","""역사""에 관한 문제입니다. 280년, 진나라가 오나라를 멸망시키고 삼국을 통일할 때, '파죽지세(破竹之勢)'라는 고사성어의 유래가 된 총사령관은 누구입니까?",두예,
"가로,세로","""역사""에 관한 문제입니다. 사마씨 정권에 대항하여 회남(淮南) 지방에서 일어난 세 차례의 대규모 반란(회남삼반)의 주모자에 해당하지 않는 인물은 누구입니까?",종회,
"가로,세로","""역사""에 관한 문제입니다. 오나라 손권(孫權)말년에 발생하여 수만은 중신이 숙청되고 국력을 쇠퇴시킨, 두 황태자 후보(손화,손패) 간의 후계자 분쟁을 무엇이라고 부릅니까?",이궁의 변,
"가로,세로","""역사""에 관한 문제입니다. 조위의 실권이 조씨 일가에서 사마씨 일가로 넘어가게 된 결정적 계기가 된 사건은 무엇이며, 이때 사마의가 축출한 인물은 누구입니까?",고평릉 사변 / 조상,
"가로,세로","""옛 것을 알면서 새 것도 안다"" 는 뜻의 사자성어는 무엇인가?",온고지신(溫故知新),
"가로,세로","""유럽인에 의한 대 유럽의 건설""을 외친 사람은?",드골,
"가로,세로","""찰리와 초콜릿 공장""에서 `윌리웡커`의 역은 누가 맡았을까요?",조니 뎁,
"가로,세로","""태극기 휘날리며""의 감독은 누구일까요?",강제규,
"가로,세로","""텔레비젼에 내가 나왔으면 정말 좋겠네 정말 좋겠네~""로 시작하는 동요의 제목은?",텔레비전에 내가 나왔으면,
"가로,세로","""토실토실 아기돼지 젖 달라고 꿀꿀꿀~""로 시작하는 동요의 제목은?",엄마돼지 아기돼지,
"가로,세로","""톰, 네로""는 만화영화에 등장하는 동물이다. 어떤 동물인가?",고양이,
"가로,세로","""특허제도는 천재라는 불꽃에 이익이라는 기름을 붓는 것이다""라고 이야기한 대통령은?",링컨,
"가로,세로","""파르테논 신전, 델포이 유적, 스타디온""과 관련있는 나라는?",그리스,
"가로,세로","""팔등신""이란 신체 두 부분의 비율이 1:8이란 뜻이다. 어느 부분을 말하는가?",얼굴길이:키,
"가로,세로","""펜은 칼보다 강하다""라는 명언을 남긴 사람은 누구인가?",리튼,
"가로,세로","""폭염주의보""는 일 최고기온이 ""몇 도"" 이상인 상태가 2일연속 지속되어야 발효되는가?",33도,
"가로,세로","""폭풍의 언덕-에밀리( ), 제인 에어-샤롯( ), 아그네스 그레이-앤( )."" ( )안에 공통적으로 들어갈 작가의 성(姓)은?",브론테,
"가로,세로","""폴 포트, 프놈펜, 인도차이나반도, 메콩강""에서 공통적으로 연상되는 나라는?",캄보디아,
"가로,세로","""풀로 붙인다""는 뜻으로 근대미술의 특수 기법의 하나는?",콜라주,
"가로,세로","""풍요 속의 빈곤""라는 명언을 남긴 사람은 누구인가?",케인즈,
"가로,세로","""프로듀서, 제작자""라는 뜻의 외래어 약자는 무엇인가?",PD,
"가로,세로","""프로이드, 셰익스피어""에서 공통적으로 연상되는 것은?",꿈,
